,대상자번호,업종코드1,대상자명,대상자코드
4192713,6000512306,24132.0,(주)한신인더스,100
4192717,6000503046,26221.0,일신전자 주식회사,100
4192718,6000525982,17903.0,(주)숲으로벽지,100
4192740,2351100300,46510.0,ACTION SPOLKA AKCYJNA,351
4192749,2450122310,69390.0,RENT A CENTER INC (RENT A CENTER),450
4192789,6000308124,14199.0,(주)월드어패럴,100
4192804,6000367155,13310.0,동주,100
4192829,2503102264,47822.0,ADVANCE VISION S R L,503
4192860,3100115881,46313.0,한라에스앤에프(주),100
4192917,2450110569,46417.0,BAIK KWANG CORP,450
4192919,3100000430,46799.0,주식회사 포스코대우,100
4192920,3100024002,22222.0,(주)코리나,100
4192922,3100013404,45219.0,(주)파츠몰,100
4192924,3100012417,46733.0,(주)와이제이씨무역,100
4192971,6000730367,29271.0,(주)포시스,100
4192976,6000681538,46739.0,(주)코켐,100
4192978,6000729277,46311.0,케이팜영농조합법인,100
4192985,6000761780,28201.0,SHENZHEN BAK POWER BATTERY CO LTD,121
4192996,2366100357,28301.0,PJSC ODESKABEL,366
4193008,6000562050,46105.0,K AND N SOLUCOES EM IMPORTACAO E EXPORTACAO LTDA,511
4193022,6000562081,45219.0,SHINI KOREI LTD,333
4193038,3100003658,46311.0,(주)NH무역,100
4193039,3100000404,41229.0,코오롱글로벌(주),100
4193040,3100005093,20501.0,케이에스섬유(주),100
4193045,3100001364,20501.0,코오롱인더스트리(주),100
4193047,3100003871,31111.0,삼성중공업(주),100
4193093,2280101275,46739.0,NOBLE CHEMICAL MATERIALS L L C,280
4193123,3100105375,25993.0,삼주이엔지(주),100
4193124,3100103777,26519.0,(주) 디지털스트림테크놀로지,100
4193127,3100103237,18111.0,신우프레스(주),100
4193135,3100117677,46329.0,(주)선일아이엔티,100
4193184,6000630468,14120.0,주식회사 제이패션,100
4193218,6000893954,29171.0,KMA FABRICACAO E COMERCIO DE APARELHOS DE REFRIGERACAO LTDA,511
4193261,3100003658,46311.0,(주)NH무역,100
4193265,3100001875,46411.0,미정실업(주),100
4193266,3100022178,22191.0,(주)한국팬트라,100
4193268,3100012865,41210.0,에스케이건설(주),100
4193269,3100009822,29180.0,(주)한프,100
4193270,3100010136,29120.0,아륭기공(주),100
4193273,3100027472,46739.0,주식회사 켐타운,100
4193274,3100027496,62021.0,에스케이 주식회사,100
4193275,3100106054,58221.0,삼성에스디에스(주),100
4193291,6000400685,27219.0,(주) 유컴테크놀러지,100
4193295,6000449858,25119.0,(주)세명진하이테크,100
4193306,6000884446,95121.0,ELETRONICA CAETES LTDA ME,511
4193342,6000900454,26322.0,(주)TGIC컴퓨터,100
4193381,3100111259,28902.0,에스아이(주),100
4193384,3100115502,22299.0,(주)멜리오유니온랜드,100
4193409,6000889935,22211.0,(주)한국프라시스,100
4193454,6000715709,96119.0,KYU K K,140
4193493,6000573457,28909.0,(주)온세하이테크,100
4193519,6000903936,13229.0,(주)그린트레이딩,100
4193582,6000291755,28121.0,디와이엘엔제이(주),100
4193603,6000390484,45220.0,PIESAUTO AND PARTNERS SPRL,691
4193604,6000395394,29299.0,TRINA SOLAR SCHWEIZ AG,358
4193674,6000877254,,18 GRUPOIL S A D C V,550
4193716,2360103985,24113.0,MERIDIAN METAL TRADING LIMITED,360
4193752,6000679578,22199.0,CK RUBBER INDUSTRIES SDN BHD,151
4193779,2321101868,47419.0,HMP DIFFUSION TEXCOM,321
4193851,6000608102,46739.0,HANG SANG CORPORATION,176
4193909,6000856910,41223.0,CORPORATIVO GRAZ AND GRASS S A DE C V,550
4194002,6000827339,46521.0,TEKTRONICS,135
4194017,3100003893,46800.0,(주)대림코퍼레이션,100
4194026,6000438689,10220.0,주식회사 진현식품,100
4194118,6000702741,46594.0,GANIVA LIMITED (GL),627
4194136,6000389336,46592.0,NEW LIFE MEDICAL LLC(OOO NL MEDIKAL),361
4194203,6000380595,29199.0,MAAS INTERNATIONAL B V (MICAFFE KALVERMARKT DEN HAAG / MAAS TREAT YOURSELF WELL / MAAS / FOOD SERVICE VENDING ROTTERDAM / LC ZWOLLE / LC ZWOLLE),349
4194225,6000884485,,COMPLECT GAS INC,512
4194244,6000182599,47320.0,REGISTERED BUSINESSMAN YUDAKOV ANDREY VLADISLAVOVICH,361
4194247,6000189844,45211.0,CACERES SAN GERMAN MARIA ESTHER DE LA LUZ,550
4194254,3100106204,20499.0,(주)이에프티,100
4194270,6000496242,46599.0,주식회사 시큐리안,100
6160484,6000604526,46721.0,(주)에스티인터내셔날,100
6160550,6001592663,71531.0,UNITEAM MARINE LIMITED,215
6160825,6001603713,13300.0,(주)유봉,100
6161123,6000933629,46739.0,CHEMICALS GATE TRADING FZE,280
6161459,3100106204,20499.0,(주)이에프티,100
6161475,6001604838,,원오션,100
6161487,6001602197,26410.0,INSUMOS COMERCIALES DE OCCIDENTE S A DE C V,550
6161492,6001598214,46622.0,GRUPO ANBEC S A DE C V,550
6161498,6000277120,28111.0,(주)탑선,100
6161507,6000299481,22221.0,(주)케이디에프,100
6161565,2630100092,16221.0,RAI PLYWOODS KENYA LIMITED,630
6161780,6001599626,,AL HASSANAIN L L C,245
6161786,6001599237,46791.0,(주)전진스틸,100
6162163,6000914374,45219.0,LIDA AURORA GUTIERREZ NIEVES,525
6162176,6000967310,10797.0,단데리온바이오팜,100
6162226,6001593843,47219.0,MOKADEM SLIMANE,602
6162598,6001592663,71531.0,UNITEAM MARINE LIMITED,215
6162820,6001593843,,MOKADEM SLIMANE,602
6163143,6000578471,29199.0,(주)스마트코퍼레이션,100
6163152,6000487830,22232.0,PREFORMAX PARAGUAY S A,558
6163167,6001601697,46521.0,STE ABDA ENERGIE SERVICES,645
6163176,6001601694,46522.0,LOGIPEX ELECTRONICS TRADING L L C,280
6163183,6000278849,20111.0,SK종합화학 주식회사,100
6163207,6001604824,46532.0,GARCIA ISLAS JESUS ABRAHAM,550
6163463,6000992135,46201.0,TECHNOKAZ ELMI LTD,333
6163857,6000809244,22232.0,TP COLOMBIA S A S,517
6163871,6001598210,,GN GROUP CORPORATION,275
6163873,6001593843,47219.0,MOKADEM SLIMANE,602
6163874,6001595155,62090.0,SMARTMOTION SISTEMAS DE MOBILIDADE EIRELI,511
6163888,6001598205,62021.0,주식회사 에이비씨솔루션,100
6163891,6000809244,22232.0,TP COLOMBIA S A S,517
6163893,6001063095,46322.0,(주)토우디베롭먼트,100
6164169,6000883888,46595.0,V POWER PORDUCTS INTERNATIONAL S A DE C V,550
6164177,6000906397,46315.0,(주)다옴글로벌,100
6164180,6000907153,46742.0,MENFIL,321
6164199,6001605207,,(주)제네드,100
6164200,6001605208,,(주)비에스마린인터내셔널,100
6164491,6001024745,46322.0,(유)바다향,100
6164503,6000294123,46329.0,G 2 G TRADING INC,450
6164505,6001087969,22232.0,(주)유니팩코리아,100
6164514,6001584690,10219.0,OCEAN CHAMP SEAFOOD PT,136
6164846,6000828271,13229.0,가인무역,100
6164856,6001594680,46739.0,DERAFER S A,575
6164864,6001603728,46411.0,부성섬유,100
6164874,6001599227,28909.0,주식회사 수본,100
6164877,6001602143,46532.0,SKE EQUIPMENTS PRIVATE LIMITED,135
6164897,6000390484,45211.0,PIESAUTO ET PARTNERS,691
6165151,6001059099,31114.0,주식회사 하이텍오션,100
6165280,2280100715,46599.0,TILE MARINE L L C,280
6165370,6001578239,46800.0,(주)이지스탬핑,100
6166241,6001603728,46411.0,부성섬유,100
6166764,2525100214,13104.0,TEXTILES DEL VALLE S A TEXVALLE,525
6166781,6001006321,17902.0,(주)보람씨앤에치,100
6166833,6001054157,14192.0,(주)레이즈컴퍼니,100
6166904,6000907159,46539.0,CONTRACTING AND TERMINAL SOLUTIONS SL,355
6166949,6000720217,29150.0,대흥산업(주),100
6166980,2180100715,10211.0,PAN ASIA 1981 COMPANY LIMITED,180
6167992,2511101414,13211.0,COVOLAN INDUSTRIA TEXTIL LTDA,511
6167993,2618100850,28519.0,EL ARABY COMPANY FOR ENGINEERING INDUSTRIES SAE,618
6168000,6000911902,17902.0,HIEU HUYEN MANUFACTURING AND TRADING COMPANY LIMITED (HIEU HUYEN MT CO LTD),176
6168017,6001604846,46800.0,YJ S AND T COMPANY LIMITED,180
6168596,6000459472,47190.0,BED BATH AND BEYOND INC,450
6168599,6000964218,33110.0,JAYDEN STAR LLC,450
6168642,6000909952,29241.0,(주) 화인테크놀로지,100
6168706,6001063025,10502.0,VANDA FROZEN COMPANY LIMITED,180
6168708,6001063396,46510.0,POS SOLUTIONS PRIVATE LIMITED,135
6168720,6000964218,33110.0,JAYDEN STAR LLC,450
6169749,2511102857,13300.0,SANTACONSTANCIA TECELAGEM LTDA,511
6169762,6000991673,46315.0,(주)삼명,100
6170204,2275100703,25992.0,GUZELIS PORSELEN SANAYI VE TICARET A S,275
6170349,2450118807,14191.0,G III APPAREL GROUP LTD,450
