,대상자번호,업종코드,대상자코드
2299685,2140104792,47430,140
2299704,2520100229,45211,520
2299730,2657101143,46105,657
2299760,2450118691,46799,450
2299770,2516100634,46105,516
2299828,2349101312,71520,349
2299872,2450105144,28511,450
2299936,2275102247,45211,275
2300062,2255101349,36010,255
2300203,2450111305,47411,450
2300216,2255100842,33999,255
2300305,2450114448,47430,450
2300617,2275102369,14199,275
2300676,2673100155,23321,673
2300678,2450114386,46800,450
2300680,2136103041,26410,136
2300720,2637100234,72111,637
2300809,2120102604,46411,120
2300859,2351100440,42201,351
2301042,2230100269,46711,230
2301055,2351100507,46411,351
2301078,2355101171,46800,355
2301080,2332101507,29221,332
2301110,2275102665,46739,275
2301125,2332102153,28302,332
2301154,2525100548,45211,525
2301266,2450110028,14111,450
2301289,2351100300,46510,351
2301338,2450117939,30310,450
2301510,2136101848,15110,136
2301609,2525100534,45211,525
2301708,2530100361,20499,530
2301727,2165101814,41210,165
2301823,2333100241,46539,333
2302109,2450110606,46800,450
2302149,2450121145,42123,450
2302371,2140103758,46311,140
2302390,2450120981,47991,450
2302464,2332102795,24121,332
2302508,2351100651,45211,351
2302662,2450121062,47311,450
2302687,2312100104,46521,312
2302715,2321102351,46539,321
2302954,2275102283,46711,275
2303296,2450104296,46800,450
2303557,2511102941,24121,511
2304972,2527100084,33999,527
2305302,2450105523,46800,450
2305376,2450113099,47851,450
2305629,2450109569,14120,450
2305819,2618100473,46510,618
2309134,2519100003,33999,519
2311194,2410101611,26299,410
2312270,2151101067,46800,151
2312292,2450106816,46800,450
2312303,2140102557,46800,140
2312316,2140101357,46105,140
2313780,2360100391,46105,360
2314890,2450113255,73201,450
2315055,2511103007,29119,511
2315138,2325102680,22250,325
2318749,2550101825,28520,550
2319768,2180100715,33999,180
2320342,2410100941,46510,410
2320361,2332101389,33999,332
2320535,2220100401,46105,220
2320639,2450113079,46800,450
2322064,2703100278,46311,703
2322322,2140101984,46800,140
2322935,2410100860,46800,410
2323849,2701101445,58111,701
2323926,2176101102,31111,176
2323970,2450109240,14199,450
2324024,2332101297,33999,332
2324175,2450100605,50111,450
2326387,2280100715,46105,280
2326445,2450113786,46800,450
2326994,2136100134,46105,136
2327113,2315100179,46800,315
2327428,2630100092,32021,630
2328559,2701100703,95310,701
2329011,2321100359,46105,321
2330951,2165100008,95310,165
2333812,2525100214,13213,525
2334515,6000002150,46411,450
2335597,3100025149,41210,100
2339594,6000049625,25111,220
2340528,3100000516,28111,100
2341140,3100003038,41210,100
2342176,3100012865,41210,100
2342427,6000050124,29119,360
2343167,6000002232,46105,361
2343181,6000026600,30310,316
2343197,6000027651,35120,360
2343259,6000036636,46510,140
2343653,6000050604,46461,140
2346232,3100000849,41210,100
2347241,6000027641,47111,360
2347365,6000074713,45211,176
2349350,3100012502,41210,100
2349545,6000050110,28422,450
2350449,6000066189,46510,645
2350462,6000060170,46510,361
2350734,3100011144,72111,100
2351068,6000001612,46621,325
2351518,6000010162,30310,511
2351952,3100021660,41210,100
2355144,6000066134,46510,331
2355965,3100103978,61210,100
2356626,6000141300,25941,511
2356646,6000133356,26310,511
2356670,6000141876,33999,135
