,대상자번호,업종코드,대상자명,대상자코드
2343620,3100013404,45211,(주)파츠몰,100
2343673,3100009332,31111,삼호조선(주),100
2343748,3100006914,13999,태성산업사,100
2343765,3100005890,27310,대구산업,100
2343800,3100100157,46799,(주)케이티엠에스,100
2343811,3100101168,46411,주식회사 지티지인터내셔날,100
2343818,3100100921,46711,원우텍스,100
2343872,3100101699,25111,(주)케이엔월덱스,100
2343904,3100012783,14191,세계양행(주),100
2343907,3100008248,30310,(주)지월드,100
2343910,3100026235,26299,(주)메르디안솔라앤디스플레이,100
2343927,3100026201,28302,(주) 서일,100
2343934,3100026282,46105,안암모터스(주),100
2343959,3100025547,46800,지엔지상사,100
2344034,3100107515,46800,(주)윤진종합물류,100
2344044,3100107526,27112,(주)아이아커뮤니케이션,100
2344047,3100108461,33999,(주)씨그널씽크,100
2344057,3100106552,26120,(주)럭스퍼트,100
2344062,3100106331,13999,(주)초이통상,100
2344080,3100107480,25921,(주)도스코,100
2344109,3100108169,26299,온누리전자(주),100
2344125,3100106352,26120,(주)유비트론,100
2344144,3100106580,26120,(주)미디언,100
2344179,3100104996,26511,엘리온디지탈(주),100
2344192,3100112602,26511,(주)광진오디오,100
2344198,3100113252,13221,성광텍스타일,100
2344221,3100113412,29241,(주)아벡스,100
2344227,3100113454,22191,세계로산업,100
2344228,3100113455,29119,(주)지에스에이,100
2344232,3100114486,46420,(주)두양트래딩,100
2344237,3100114493,46105,(주)하이인텍,100
2344249,3100114540,26310,(주)씨엠와이,100
2344294,3100111851,46105,한성무역,100
2344339,3100114053,24191,제이케이이엔지(주),100
2344347,3100112926,24211,티엔씨(주),100
2344354,3100113205,29119,(주)풍남반도체테크,100
2344363,3100114367,46451,에스디아이코퍼레이션,100
2344385,3100103793,46510,성신무역,100
2344387,3100103795,13999,(주)피아필드,100
2344407,3100102495,46510,(주)네오코리아상사,100
2344416,3100103448,46539,(주)지에이아이,100
2344419,3100103451,28410,(주)쏘코,100
2344430,3100104340,26310,(주)시뮬레이션테크,100
2344434,3100104345,33110,(주)클라쎄,100
2344448,3100101586,46611,뉴원트레이딩,100
2344456,3100102548,46800,(주)코스폴물산,100
2344468,3100104347,46105,주식회사 이파인디스플레이,100
2344489,3100101655,46799,(주)신라마린,100
2344504,3100102964,46800,에이치씨티코리아(주),100
2344515,3100104559,28511,(주)에스지아이,100
2344543,3100104831,24121,아이케이(주),100
2344545,3100104833,31321,세진엔지니어링,100
2344568,3100111112,46800,(주)케이피토프라,100
2344587,3100109840,72921,아이씨에스(주),100
2344592,3100109846,1121,농업회사법인(주)제이제이에프,100
2344616,3100110591,20131,(주)다이스웰,100
2344632,3100110358,26299,(주)피제이엘씨디(구.(주)풍진케미칼),100
2344663,3100109395,3211,제주어류양식수협,100
2344682,3100108676,26299,(주)이앰솔루션스,100
2344684,3100108679,26299,주식회사 디.에스.이,100
2344690,3100112676,22211,신아아이엠텍 주식회사,100
2344697,3100108803,13221,(주)일심글로발,100
2344698,3100108804,33110,(주)명가인터내셔날,100
2344703,3100108809,13221,(주)선동화섬,100
2344718,3100111480,13229,F&I INTERNATIONAL COMPANY,100
2344735,3100110550,13221,(주)스타리무역,100
2344743,3100111443,28909,이씨엠아시아아이티에스(주),100
2344761,3100110839,24111,메탈테크(주),100
2344765,3100110844,29199,아이엠티,100
2344788,3100104272,29199,(주)대금지오웰,100
2344887,3100021620,29210,한성공업(주),100
2344898,3100021673,42201,(주)태림종합개발,100
2344936,3100023408,29299,일성정밀,100
2345016,3100012277,25122,다임폴라특장(주),100
2345032,3100014112,22221,영성산업(주),100
2345041,3100020305,46799,델로스에프앤비(주),100
2345059,3100010527,26299,태양 3C (주),100
2345075,3100009510,17121,(주)세하,100
2345091,3100012146,26299,우성공업(주),100
2345093,3100013052,28909,(주) 신성솔라에너지,100
2345094,3100013056,14199,디에프텍스타일,100
2345096,3100013069,14199,(주)비안어페럴,100
2345112,3100013257,46105,JK 상사,100
2345162,3100023369,33110,(주)에스윌,100
2345180,3100011727,20501,(주)동흥교역,100
2345205,3100100402,29199,나라시스템즈(주),100
2345206,3100100404,46800,(주)라피도트레이딩,100
2345212,3100100743,13221,동운섬유,100
2345222,3100100502,10712,영농조합법인 춘향골맛김치,100
2345229,3100102589,46739,주식회사 삼영페트로,100
2345276,6000050125,26299,제이엔피(주),100
